 ,Label,Area1,Mean1,Min1,Max1,BX1,BY1,Width1,Height1,IntDen1,RawIntDen1,Area2,Mean2,Min2,Max2,BX2,BY2,Width2,Height2,IntDen2,RawIntDen2,Area3,Mean3,Min3,Max3,BX3,BY3,Width3,Height3,IntDen3,RawIntDen3
1,dataImg,71.228,208.732,117,308,36.000,36.551,6.621,10.759,14867.533,3125965,108.611,112.152,44,178,7.517,17.793,11.931,9.103,12180.960,2561101,1168.056,186.205,30,332,29.517,0,34.620,58.206,217497.359,45729788
2,dataImg,71.228,207.812,119,307,36.000,36.551,6.621,10.759,14802.027,3112192,108.611,111.785,44,172,7.517,17.793,11.931,9.103,12141.104,2552721,1168.056,185.684,56,339,29.517,0,34.620,58.206,216889.594,45602000
3,dataImg,71.228,207.588,110,297,36.000,36.551,6.621,10.759,14786.104,3108844,108.611,112.180,43,181,7.517,17.793,11.931,9.103,12184.042,2561749,1168.056,185.570,52,319,29.517,0,34.620,58.206,216755.641,45573836
4,dataImg,71.228,209.357,111,292,36.000,36.551,6.621,10.759,14912.099,3135335,108.611,112.722,50,177,7.517,17.793,11.931,9.103,12242.890,2574122,1168.056,185.943,42,323,29.517,0,34.620,58.206,217191.469,45665472
5,dataImg,71.228,207.259,114,301,36.000,36.551,6.621,10.759,14762.656,3103914,108.611,112.679,47,191,7.517,17.793,11.931,9.103,12238.229,2573142,1168.056,185.690,46,326,29.517,0,34.620,58.206,216896.453,45603444
6,dataImg,71.228,208.113,114,297,36.000,36.551,6.621,10.759,14823.496,3116706,108.611,112.728,51,176,7.517,17.793,11.931,9.103,12243.556,2574262,1168.056,185.836,55,317,29.517,0,34.620,58.206,217067.109,45639324
7,dataImg,71.228,209.111,113,297,36.000,36.551,6.621,10.759,14894.558,3131647,108.611,112.337,43,184,7.517,17.793,11.931,9.103,12201.112,2565338,1168.056,185.782,51,326,29.517,0,34.620,58.206,217003.797,45626012
8,dataImg,71.228,208.769,120,300,36.000,36.551,6.621,10.759,14870.226,3126531,108.611,112.283,45,177,7.517,17.793,11.931,9.103,12195.214,2564098,1168.056,186.241,50,331,29.517,0,34.620,58.206,217539.906,45738732
9,dataImg,71.228,208.564,117,301,36.000,36.551,6.621,10.759,14855.614,3123459,108.611,112.097,50,180,7.517,17.793,11.931,9.103,12175.034,2559855,1168.056,186.040,45,336,29.517,0,34.620,58.206,217305.422,45689432
10,dataImg,71.228,207.734,125,292,36.000,36.551,6.621,10.759,14796.501,3111030,108.611,112.436,47,182,7.517,17.793,11.931,9.103,12211.822,2567590,1168.056,185.766,52,315,29.517,0,34.620,58.206,216984.672,45621992
11,dataImg,71.228,208.830,112,294,36.000,36.551,6.621,10.759,14874.539,3127438,108.611,112.017,37,181,7.517,17.793,11.931,9.103,12166.345,2558028,1168.056,186.057,48,323,29.517,0,34.620,58.206,217324.938,45693536
12,dataImg,71.228,207.932,113,313,36.000,36.551,6.621,10.759,14810.588,3113992,108.611,111.358,50,169,7.517,17.793,11.931,9.103,12094.760,2542977,1168.056,185.549,45,314,29.517,0,34.620,58.206,216732.203,45568908
13,dataImg,71.228,209.347,121,292,36.000,36.551,6.621,10.759,14911.385,3135185,108.611,111.740,43,176,7.517,17.793,11.931,9.103,12136.181,2551686,1168.056,186.483,59,312,29.517,0,34.620,58.206,217822.547,45798160
14,dataImg,71.228,208.872,119,305,36.000,36.551,6.621,10.759,14877.536,3128068,108.611,112.074,47,176,7.517,17.793,11.931,9.103,12172.551,2559333,1168.056,185.993,58,320,29.517,0,34.620,58.206,217250.594,45677904
15,dataImg,71.228,208.962,123,301,36.000,36.551,6.621,10.759,14883.928,3129412,108.611,112.527,48,185,7.517,17.793,11.931,9.103,12221.739,2569675,1168.056,186.164,61,336,29.517,0,34.620,58.206,217449.547,45719736
16,dataImg,71.228,208.275,115,291,36.000,36.551,6.621,10.759,14834.987,3119122,108.611,112.966,48,196,7.517,17.793,11.931,9.103,12269.339,2579683,1168.056,185.861,53,328,29.517,0,34.620,58.206,217096.391,45645480
17,dataImg,71.228,207.166,112,307,36.000,36.551,6.621,10.759,14756.021,3102519,108.611,112.154,45,175,7.517,17.793,11.931,9.103,12181.240,2561160,1168.056,185.524,57,312,29.517,0,34.620,58.206,216702.094,45562580
18,dataImg,71.228,208.639,104,304,36.000,36.551,6.621,10.759,14860.913,3124573,108.611,111.697,39,177,7.517,17.793,11.931,9.103,12131.558,2550714,1168.056,186.042,56,311,29.517,0,34.620,58.206,217307.234,45689812
19,dataImg,71.228,207.773,109,302,36.000,36.551,6.621,10.759,14799.254,3111609,108.611,111.831,46,174,7.517,17.793,11.931,9.103,12146.055,2553762,1168.056,185.819,59,321,29.517,0,34.620,58.206,217046.672,45635024
20,dataImg,71.228,209.149,107,310,36.000,36.551,6.621,10.759,14897.255,3132214,108.611,112.040,47,179,7.517,17.793,11.931,9.103,12168.827,2558550,1168.056,186.034,50,338,29.517,0,34.620,58.206,217298.328,45687936
21,dataImg,71.228,209.464,117,300,36.000,36.551,6.621,10.759,14919.704,3136934,108.611,111.514,43,181,7.517,17.793,11.931,9.103,12111.716,2546542,1168.056,186.475,55,313,29.517,0,34.620,58.206,217813.781,45796316
22,dataImg,71.228,208.792,121,306,36.000,36.551,6.621,10.759,14871.805,3126863,108.611,111.670,37,184,7.517,17.793,11.931,9.103,12128.619,2550096,1168.056,186.090,60,328,29.517,0,34.620,58.206,217364.062,45701760
23,dataImg,71.228,208.905,122,296,36.000,36.551,6.621,10.759,14879.885,3128562,108.611,111.892,45,182,7.517,17.793,11.931,9.103,12152.761,2555172,1168.056,185.670,47,317,29.517,0,34.620,58.206,216873.094,45598532
24,dataImg,71.228,207.886,109,301,36.000,36.551,6.621,10.759,14807.320,3113305,108.611,112.215,38,175,7.517,17.793,11.931,9.103,12187.785,2562536,1168.056,186.163,52,316,29.517,0,34.620,58.206,217449.250,45719672
25,dataImg,71.228,209.508,120,307,36.000,36.551,6.621,10.759,14922.843,3137594,108.611,111.565,32,175,7.517,17.793,11.931,9.103,12117.166,2547688,1168.056,186.402,58,315,29.517,0,34.620,58.206,217727.469,45778168
26,dataImg,71.228,209.009,121,301,36.000,36.551,6.621,10.759,14887.310,3130123,108.611,111.685,43,184,7.517,17.793,11.931,9.103,12130.298,2550449,1168.056,186.073,57,323,29.517,0,34.620,58.206,217344.031,45697548
27,dataImg,71.228,208.544,114,299,36.000,36.551,6.621,10.759,14854.164,3123154,108.611,111.470,44,177,7.517,17.793,11.931,9.103,12106.950,2545540,1168.056,185.755,55,315,29.517,0,34.620,58.206,216972.094,45619348
28,dataImg,71.228,208.011,113,299,36.000,36.551,6.621,10.759,14816.215,3115175,108.611,112.221,48,188,7.517,17.793,11.931,9.103,12188.494,2562685,1168.056,186.063,52,322,29.517,0,34.620,58.206,217332.266,45695076
29,dataImg,71.228,208.819,125,307,36.000,36.551,6.621,10.759,14873.740,3127270,108.611,111.576,45,181,7.517,17.793,11.931,9.103,12118.402,2547948,1168.056,185.997,59,322,29.517,0,34.620,58.206,217255.344,45678900
30,dataImg,71.228,208.177,105,304,36.000,36.551,6.621,10.759,14828.029,3117659,108.611,111.573,43,180,7.517,17.793,11.931,9.103,12118.061,2547876,1168.056,185.709,49,324,29.517,0,34.620,58.206,216918.078,45607992
31,dataImg,71.228,130.729,50,207,36.000,36.551,6.621,10.759,9311.527,1957790,108.611,111.395,41,171,7.517,17.793,11.931,9.103,12098.698,2543805,1168.056,177.691,37,322,29.517,0,34.620,58.206,207552.609,43638860
32,dataImg,71.228,135.298,67,210,36.000,36.551,6.621,10.759,9636.976,2026217,108.611,111.901,39,194,7.517,17.793,11.931,9.103,12153.693,2555368,1168.056,176.437,56,321,29.517,0,34.620,58.206,206088.844,43331096
33,dataImg,71.228,138.971,66,217,36.000,36.551,6.621,10.759,9898.635,2081232,108.611,112.244,42,180,7.517,17.793,11.931,9.103,12190.977,2563207,1168.056,176.503,55,331,29.517,0,34.620,58.206,206165.562,43347224
34,dataImg,71.228,141.378,70,217,36.000,36.551,6.621,10.759,10070.037,2117270,108.611,112.142,34,189,7.517,17.793,11.931,9.103,12179.914,2560881,1168.056,175.428,56,332,29.517,0,34.620,58.206,204910.234,43083288
35,dataImg,71.228,144.810,74,226,36.000,36.551,6.621,10.759,10314.531,2168676,108.611,112.440,51,184,7.517,17.793,11.931,9.103,12212.265,2567683,1168.056,175.046,55,312,29.517,0,34.620,58.206,204463.891,42989444
36,dataImg,71.228,144.533,55,231,36.000,36.551,6.621,10.759,10294.798,2164527,108.611,112.349,34,178,7.517,17.793,11.931,9.103,12202.315,2565591,1168.056,174.263,54,312,29.517,0,34.620,58.206,203548.953,42797072
37,dataImg,71.228,147.441,82,223,36.000,36.551,6.621,10.759,10501.942,2208080,108.611,112.281,50,185,7.517,17.793,11.931,9.103,12195.000,2564053,1168.056,174.373,54,311,29.517,0,34.620,58.206,203677.547,42824112
38,dataImg,71.228,147.979,69,240,36.000,36.551,6.621,10.759,10540.276,2216140,108.611,111.494,51,175,7.517,17.793,11.931,9.103,12109.499,2546076,1168.056,173.965,58,311,29.517,0,34.620,58.206,203201.125,42723940
39,dataImg,71.228,150.192,74,233,36.000,36.551,6.621,10.759,10697.848,2249270,108.611,111.581,29,178,7.517,17.793,11.931,9.103,12119.002,2548074,1168.056,173.881,54,306,29.517,0,34.620,58.206,203102.922,42703292
40,dataImg,71.228,151.329,76,250,36.000,36.551,6.621,10.759,10778.868,2266305,108.611,112.044,48,177,7.517,17.793,11.931,9.103,12169.213,2558631,1168.056,173.568,55,330,29.517,0,34.620,58.206,202737.219,42626400
41,dataImg,71.228,151.422,74,233,36.000,36.551,6.621,10.759,10785.465,2267692,108.611,112.974,46,174,7.517,17.793,11.931,9.103,12270.290,2579883,1168.056,173.402,51,306,29.517,0,34.620,58.206,202543.828,42585740
42,dataImg,71.228,152.073,80,235,36.000,36.551,6.621,10.759,10831.866,2277448,108.611,111.859,52,183,7.517,17.793,11.931,9.103,12149.165,2554416,1168.056,173.476,47,312,29.517,0,34.620,58.206,202629.859,42603832
