 ,Label,Area1,Mean1,Min1,Max1,BX1,BY1,Width1,Height1,IntDen1,RawIntDen1,Area2,Mean2,Min2,Max2,BX2,BY2,Width2,Height2,IntDen2,RawIntDen2,Area3,Mean3,Min3,Max3,BX3,BY3,Width3,Height3,IntDen3,RawIntDen3
1,dataImg,71.228,166.386,72,439,27.310,25.931,6.621,10.759,11851.354,2491800,47.866,110.841,46,176,24.276,55.517,10.207,4.690,5305.486,1115502,1614.610,166.974,47,599,19.379,0,51.241,42.206,269597.625,56684104
2,dataImg,71.228,165.587,73,436,27.310,25.931,6.621,10.759,11794.438,2479833,47.866,110.763,36,180,24.276,55.517,10.207,4.690,5301.771,1114721,1614.610,166.791,51,605,19.379,0,51.241,42.206,269302.969,56622148
3,dataImg,71.228,166.649,77,498,27.310,25.931,6.621,10.759,11870.104,2495742,47.866,110.858,49,179,24.276,55.517,10.207,4.690,5306.323,1115678,1614.610,166.701,49,565,19.379,0,51.241,42.206,269156.875,56591428
4,dataImg,71.228,165.707,74,443,27.310,25.931,6.621,10.759,11802.976,2481628,47.866,110.263,52,168,24.276,55.517,10.207,4.690,5277.838,1109689,1614.610,166.652,53,543,19.379,0,51.241,42.206,269078.000,56574848
5,dataImg,71.228,165.953,72,515,27.310,25.931,6.621,10.759,11820.502,2485313,47.866,110.400,40,173,24.276,55.517,10.207,4.690,5284.407,1111070,1614.610,166.579,40,535,19.379,0,51.241,42.206,268960.812,56550208
6,dataImg,71.228,165.334,71,469,27.310,25.931,6.621,10.759,11776.427,2476046,47.866,110.450,47,179,24.276,55.517,10.207,4.690,5286.775,1111568,1614.610,166.963,52,520,19.379,0,51.241,42.206,269579.562,56680304
7,dataImg,71.228,165.472,74,484,27.310,25.931,6.621,10.759,11786.253,2478112,47.866,110.276,32,179,24.276,55.517,10.207,4.690,5278.471,1109822,1614.610,166.440,36,549,19.379,0,51.241,42.206,268735.062,56502744
8,dataImg,71.228,165.985,75,436,27.310,25.931,6.621,10.759,11822.799,2485796,47.866,110.646,49,181,24.276,55.517,10.207,4.690,5296.173,1113544,1614.610,167.089,46,537,19.379,0,51.241,42.206,269784.062,56723300
9,dataImg,71.228,165.844,72,473,27.310,25.931,6.621,10.759,11812.754,2483684,47.866,110.744,51,168,24.276,55.517,10.207,4.690,5300.834,1114524,1614.610,167.061,52,519,19.379,0,51.241,42.206,269739.062,56713832
10,dataImg,71.228,165.946,68,475,27.310,25.931,6.621,10.759,11819.979,2485203,47.866,111.010,44,169,24.276,55.517,10.207,4.690,5313.571,1117202,1614.610,166.851,43,511,19.379,0,51.241,42.206,269398.844,56642304
11,dataImg,71.228,165.206,69,467,27.310,25.931,6.621,10.759,11767.300,2474127,47.866,109.771,51,175,24.276,55.517,10.207,4.690,5254.262,1104732,1614.610,166.742,53,502,19.379,0,51.241,42.206,269223.375,56605412
12,dataImg,71.228,165.671,78,401,27.310,25.931,6.621,10.759,11800.397,2481086,47.866,110.503,48,179,24.276,55.517,10.207,4.690,5289.306,1112100,1614.610,166.923,47,526,19.379,0,51.241,42.206,269515.844,56666904
13,dataImg,71.228,166.179,67,438,27.310,25.931,6.621,10.759,11836.630,2488704,47.866,111.053,47,181,24.276,55.517,10.207,4.690,5315.621,1117633,1614.610,166.999,50,515,19.379,0,51.241,42.206,269638.969,56692792
14,dataImg,71.228,165.781,49,478,27.310,25.931,6.621,10.759,11808.269,2482741,47.866,110.158,44,166,24.276,55.517,10.207,4.690,5272.788,1108627,1614.610,166.757,46,515,19.379,0,51.241,42.206,269247.750,56610536
15,dataImg,71.228,165.830,68,443,27.310,25.931,6.621,10.759,11811.707,2483464,47.866,110.773,46,167,24.276,55.517,10.207,4.690,5302.242,1114820,1614.610,166.807,29,545,19.379,0,51.241,42.206,269327.844,56627376
16,dataImg,71.228,165.222,70,475,27.310,25.931,6.621,10.759,11768.465,2474372,47.866,110.216,47,170,24.276,55.517,10.207,4.690,5275.565,1109211,1614.610,166.777,55,599,19.379,0,51.241,42.206,269279.781,56617272
17,dataImg,71.228,165.746,70,425,27.310,25.931,6.621,10.759,11805.720,2482205,47.866,110.370,50,173,24.276,55.517,10.207,4.690,5282.937,1110761,1614.610,166.938,42,572,19.379,0,51.241,42.206,269539.125,56671796
18,dataImg,71.228,165.677,70,482,27.310,25.931,6.621,10.759,11800.816,2481174,47.866,110.623,40,182,24.276,55.517,10.207,4.690,5295.061,1113310,1614.610,167.008,45,564,19.379,0,51.241,42.206,269653.250,56695796
19,dataImg,71.228,165.398,63,530,27.310,25.931,6.621,10.759,11780.987,2477005,47.866,110.533,41,173,24.276,55.517,10.207,4.690,5290.756,1112405,1614.610,166.748,54,532,19.379,0,51.241,42.206,269232.438,56607316
20,dataImg,71.228,165.612,78,456,27.310,25.931,6.621,10.759,11796.174,2480198,47.866,110.822,42,170,24.276,55.517,10.207,4.690,5304.597,1115315,1614.610,166.888,49,514,19.379,0,51.241,42.206,269459.719,56655104
21,dataImg,71.228,165.216,63,418,27.310,25.931,6.621,10.759,11767.970,2474268,47.866,111.013,49,174,24.276,55.517,10.207,4.690,5313.719,1117233,1614.610,167.153,50,511,19.379,0,51.241,42.206,269886.281,56744792
22,dataImg,71.228,164.961,70,445,27.310,25.931,6.621,10.759,11749.807,2470449,47.866,109.938,50,183,24.276,55.517,10.207,4.690,5262.271,1106416,1614.610,166.990,42,569,19.379,0,51.241,42.206,269623.031,56689440
23,dataImg,71.228,165.235,58,455,27.310,25.931,6.621,10.759,11769.388,2474566,47.866,110.316,44,176,24.276,55.517,10.207,4.690,5280.388,1110225,1614.610,167.215,50,557,19.379,0,51.241,42.206,269987.562,56766084
24,dataImg,71.228,165.689,49,496,27.310,25.931,6.621,10.759,11801.672,2481354,47.866,110.983,43,173,24.276,55.517,10.207,4.690,5312.301,1116935,1614.610,167.026,49,560,19.379,0,51.241,42.206,269681.562,56701752
25,dataImg,71.228,165.589,78,462,27.310,25.931,6.621,10.759,11794.590,2479865,47.866,110.521,46,172,24.276,55.517,10.207,4.690,5290.176,1112283,1614.610,166.578,51,534,19.379,0,51.241,42.206,268958.656,56549756
26,dataImg,71.228,165.493,70,401,27.310,25.931,6.621,10.759,11787.731,2478423,47.866,110.834,49,176,24.276,55.517,10.207,4.690,5305.182,1115438,1614.610,166.535,49,555,19.379,0,51.241,42.206,268888.375,56534976
27,dataImg,71.228,164.959,72,432,27.310,25.931,6.621,10.759,11749.730,2470433,47.866,110.603,46,179,24.276,55.517,10.207,4.690,5294.090,1113106,1614.610,166.617,50,560,19.379,0,51.241,42.206,269021.219,56562908
28,dataImg,71.228,165.083,61,471,27.310,25.931,6.621,10.759,11758.520,2472281,47.866,110.646,48,168,24.276,55.517,10.207,4.690,5296.159,1113541,1614.610,166.783,51,499,19.379,0,51.241,42.206,269290.125,56619448
29,dataImg,71.228,164.331,78,457,27.310,25.931,6.621,10.759,11704.994,2461027,47.866,109.520,47,171,24.276,55.517,10.207,4.690,5242.244,1102205,1614.610,166.529,54,511,19.379,0,51.241,42.206,268880.188,56533256
30,dataImg,71.228,165.332,77,534,27.310,25.931,6.621,10.759,11776.284,2476016,47.866,110.292,46,170,24.276,55.517,10.207,4.690,5279.194,1109974,1614.610,166.807,50,534,19.379,0,51.241,42.206,269328.750,56627568
31,dataImg,71.228,119.097,56,202,27.310,25.931,6.621,10.759,8483.021,1783593,47.866,111.012,50,173,24.276,55.517,10.207,4.690,5313.700,1117229,1614.610,168.226,38,616,19.379,0,51.241,42.206,271620.219,57109356
32,dataImg,71.228,120.977,50,227,27.310,25.931,6.621,10.759,8616.931,1811748,47.866,110.304,46,171,24.276,55.517,10.207,4.690,5279.803,1110102,1614.610,167.329,47,574,19.379,0,51.241,42.206,270170.344,56804512
33,dataImg,71.228,122.240,53,205,27.310,25.931,6.621,10.759,8706.884,1830661,47.866,110.971,42,176,24.276,55.517,10.207,4.690,5311.712,1116811,1614.610,166.821,48,593,19.379,0,51.241,42.206,269351.406,56632328
34,dataImg,71.228,122.656,57,231,27.310,25.931,6.621,10.759,8736.571,1836903,47.866,110.472,49,173,24.276,55.517,10.207,4.690,5287.850,1111794,1614.610,166.078,48,606,19.379,0,51.241,42.206,268151.406,56380024
35,dataImg,71.228,125.823,55,214,27.310,25.931,6.621,10.759,8962.099,1884321,47.866,110.934,44,175,24.276,55.517,10.207,4.690,5309.947,1116440,1614.610,165.813,49,643,19.379,0,51.241,42.206,267723.062,56289968
36,dataImg,71.228,126.636,57,244,27.310,25.931,6.621,10.759,9019.995,1896494,47.866,110.710,51,174,24.276,55.517,10.207,4.690,5299.217,1114184,1614.610,165.427,49,668,19.379,0,51.241,42.206,267099.594,56158880
37,dataImg,71.228,126.526,54,217,27.310,25.931,6.621,10.759,9012.176,1894850,47.866,110.601,37,172,24.276,55.517,10.207,4.690,5294.023,1113092,1614.610,165.132,51,595,19.379,0,51.241,42.206,266624.438,56058972
38,dataImg,71.228,127.795,54,241,27.310,25.931,6.621,10.759,9102.585,1913859,47.866,110.747,52,179,24.276,55.517,10.207,4.690,5300.996,1114558,1614.610,165.147,49,555,19.379,0,51.241,42.206,266647.531,56063828
39,dataImg,71.228,128.004,60,223,27.310,25.931,6.621,10.759,9117.463,1916987,47.866,110.732,42,184,24.276,55.517,10.207,4.690,5300.292,1114410,1614.610,164.506,37,635,19.379,0,51.241,42.206,265612.938,55846300
40,dataImg,71.228,128.054,53,226,27.310,25.931,6.621,10.759,9121.029,1917737,47.866,110.097,48,173,24.276,55.517,10.207,4.690,5269.862,1108012,1614.610,164.101,47,571,19.379,0,51.241,42.206,264959.500,55708912
