 ,Label,Area1,Mean1,Min1,Max1,BX1,BY1,Width1,Height1,IntDen1,RawIntDen1,Area2,Mean2,Min2,Max2,BX2,BY2,Width2,Height2,IntDen2,RawIntDen2,Area3,Mean3,Min3,Max3,BX3,BY3,Width3,Height3,IntDen3,RawIntDen3
1,dataImg,71.228,181.789,89,341,27.310,25.931,6.621,10.759,12948.487,2722477,84.754,112.879,40,181,5.241,5.379,12.414,6.828,9567.032,2011511,2514.953,152.205,48,490,0.966,11.379,63.379,75.930,382788.719,80483032
2,dataImg,71.228,181.915,80,322,27.310,25.931,6.621,10.759,12957.462,2724364,84.754,113.292,42,183,5.241,5.379,12.414,6.828,9602.042,2018872,2514.953,152.356,45,477,0.966,11.379,63.379,75.930,383167.344,80562640
3,dataImg,71.228,181.509,94,340,27.310,25.931,6.621,10.759,12928.555,2718286,84.754,113.532,55,183,5.241,5.379,12.414,6.828,9622.360,2023144,2514.953,152.236,36,505,0.966,11.379,63.379,75.930,382866.750,80499432
4,dataImg,71.228,181.773,92,325,27.310,25.931,6.621,10.759,12947.331,2722234,84.754,113.453,48,184,5.241,5.379,12.414,6.828,9615.683,2021740,2514.953,152.192,45,538,0.966,11.379,63.379,75.930,382755.062,80475952
5,dataImg,71.228,182.261,85,332,27.310,25.931,6.621,10.759,12982.080,2729540,84.754,113.236,42,180,5.241,5.379,12.414,6.828,9597.295,2017874,2514.953,152.357,50,543,0.966,11.379,63.379,75.930,383170.500,80563296
6,dataImg,71.228,182.108,67,316,27.310,25.931,6.621,10.759,12971.202,2727253,84.754,113.337,54,181,5.241,5.379,12.414,6.828,9605.847,2019672,2514.953,152.468,37,546,0.966,11.379,63.379,75.930,383448.844,80621824
7,dataImg,71.228,182.109,81,350,27.310,25.931,6.621,10.759,12971.240,2727261,84.754,114.398,46,184,5.241,5.379,12.414,6.828,9695.781,2038581,2514.953,152.589,37,549,0.966,11.379,63.379,75.930,383753.719,80685928
8,dataImg,71.228,181.012,80,399,27.310,25.931,6.621,10.759,12893.098,2710831,84.754,113.598,50,178,5.241,5.379,12.414,6.828,9627.944,2024318,2514.953,152.306,42,522,0.966,11.379,63.379,75.930,383042.375,80536368
9,dataImg,71.228,182.572,90,362,27.310,25.931,6.621,10.759,13004.215,2734194,84.754,112.518,49,176,5.241,5.379,12.414,6.828,9536.379,2005066,2514.953,152.275,47,523,0.966,11.379,63.379,75.930,382965.125,80520120
10,dataImg,71.228,182.027,81,363,27.310,25.931,6.621,10.759,12965.386,2726030,84.754,113.540,53,183,5.241,5.379,12.414,6.828,9623.060,2023291,2514.953,152.479,37,554,0.966,11.379,63.379,75.930,383477.625,80627872
