 ,Label,Area1,Mean1,Min1,Max1,BX1,BY1,Width1,Height1,IntDen1,RawIntDen1,Area2,Mean2,Min2,Max2,BX2,BY2,Width2,Height2,IntDen2,RawIntDen2,Area3,Mean3,Min3,Max3,BX3,BY3,Width3,Height3,IntDen3,RawIntDen3
1,dataImg,71.228,247.051,139,358,33.379,36.000,6.621,10.759,17596.912,3699829,62.572,113.103,48,181,14.414,10.276,9.862,6.345,7077.044,1487980,2038.611,178.842,41,358,0.345,21.103,70.275,49.586,364589.656,76656600
2,dataImg,71.228,244.866,118,345,33.379,36.000,6.621,10.759,17441.287,3667108,62.572,112.899,53,182,14.414,10.276,9.862,6.345,7064.279,1485296,2038.611,177.776,37,359,0.345,21.103,70.275,49.586,362415.656,76199504
3,dataImg,71.228,245.403,135,347,33.379,36.000,6.621,10.759,17479.559,3675155,62.572,111.734,45,176,14.414,10.276,9.862,6.345,6991.424,1469978,2038.611,177.415,31,353,0.345,21.103,70.275,49.586,361679.531,76044728
4,dataImg,71.228,245.424,118,358,33.379,36.000,6.621,10.759,17481.039,3675466,62.572,112.606,48,175,14.414,10.276,9.862,6.345,7045.972,1481447,2038.611,177.754,47,373,0.345,21.103,70.275,49.586,362371.219,76190160
5,dataImg,71.228,245.830,114,356,33.379,36.000,6.621,10.759,17509.971,3681549,62.572,111.960,45,180,14.414,10.276,9.862,6.345,7005.531,1472944,2038.611,177.252,49,358,0.345,21.103,70.275,49.586,361347.969,75975016
6,dataImg,71.228,245.221,121,347,33.379,36.000,6.621,10.759,17466.594,3672429,62.572,112.030,47,183,14.414,10.276,9.862,6.345,7009.949,1473873,2038.611,177.568,48,358,0.345,21.103,70.275,49.586,361992.750,76110584
7,dataImg,71.228,245.702,128,359,33.379,36.000,6.621,10.759,17500.834,3679628,62.572,111.998,40,185,14.414,10.276,9.862,6.345,7007.923,1473447,2038.611,177.614,47,359,0.345,21.103,70.275,49.586,362085.719,76130128
8,dataImg,71.228,244.777,106,361,33.379,36.000,6.621,10.759,17434.947,3665775,62.572,113.752,48,180,14.414,10.276,9.862,6.345,7117.690,1496526,2038.611,177.980,42,361,0.345,21.103,70.275,49.586,362832.688,76287184
9,dataImg,71.228,246.310,119,352,33.379,36.000,6.621,10.759,17544.152,3688736,62.572,112.701,54,178,14.414,10.276,9.862,6.345,7051.927,1482699,2038.611,177.612,33,362,0.345,21.103,70.275,49.586,362082.688,76129496
10,dataImg,71.228,245.895,123,352,33.379,36.000,6.621,10.759,17514.617,3682526,62.572,113.262,53,181,14.414,10.276,9.862,6.345,7087.018,1490077,2038.611,177.535,43,374,0.345,21.103,70.275,49.586,361924.469,76096224
11,dataImg,71.228,245.737,116,353,33.379,36.000,6.621,10.759,17503.350,3680157,62.572,112.561,46,178,14.414,10.276,9.862,6.345,7043.114,1480846,2038.611,177.784,40,357,0.345,21.103,70.275,49.586,362431.531,76202840
12,dataImg,71.228,246.566,120,351,33.379,36.000,6.621,10.759,17562.412,3692575,62.572,112.601,47,181,14.414,10.276,9.862,6.345,7045.658,1481381,2038.611,177.800,36,356,0.345,21.103,70.275,49.586,362465.406,76209968
13,dataImg,71.228,244.942,124,351,33.379,36.000,6.621,10.759,17446.742,3668255,62.572,112.381,44,180,14.414,10.276,9.862,6.345,7031.904,1478489,2038.611,177.942,37,359,0.345,21.103,70.275,49.586,362755.344,76270928
14,dataImg,71.228,246.541,108,352,33.379,36.000,6.621,10.759,17560.646,3692204,62.572,112.779,38,176,14.414,10.276,9.862,6.345,7056.759,1483715,2038.611,178.073,45,355,0.345,21.103,70.275,49.586,363021.688,76326928
15,dataImg,71.228,245.720,126,347,33.379,36.000,6.621,10.759,17502.107,3679896,62.572,112.634,49,179,14.414,10.276,9.862,6.345,7047.694,1481809,2038.611,178.043,46,351,0.345,21.103,70.275,49.586,362960.531,76314064
16,dataImg,71.228,245.790,118,352,33.379,36.000,6.621,10.759,17507.125,3680951,62.572,112.571,47,185,14.414,10.276,9.862,6.345,7043.742,1480978,2038.611,177.818,40,354,0.345,21.103,70.275,49.586,362501.469,76217544
17,dataImg,71.228,246.229,125,345,33.379,36.000,6.621,10.759,17538.383,3687523,62.572,112.113,49,175,14.414,10.276,9.862,6.345,7015.086,1474953,2038.611,177.955,50,358,0.345,21.103,70.275,49.586,362781.188,76276352
18,dataImg,71.228,246.604,133,357,33.379,36.000,6.621,10.759,17565.094,3693139,62.572,112.121,46,175,14.414,10.276,9.862,6.345,7015.638,1475069,2038.611,177.532,45,372,0.345,21.103,70.275,49.586,361917.781,76094824
19,dataImg,71.228,245.290,113,349,33.379,36.000,6.621,10.759,17471.531,3673467,62.572,113.026,47,174,14.414,10.276,9.862,6.345,7072.260,1486974,2038.611,177.673,44,358,0.345,21.103,70.275,49.586,362205.344,76155288
20,dataImg,71.228,243.391,144,335,33.379,36.000,6.621,10.759,17336.262,3645026,62.572,112.445,49,178,14.414,10.276,9.862,6.345,7035.861,1479321,2038.611,178.112,41,344,0.345,21.103,70.275,49.586,363101.875,76343776
21,dataImg,71.228,243.491,142,340,33.379,36.000,6.621,10.759,17343.338,3646514,62.572,112.439,46,173,14.414,10.276,9.862,6.345,7035.500,1479245,2038.611,174.905,47,350,0.345,21.103,70.275,49.586,356562.656,74968880
22,dataImg,71.228,245.455,126,356,33.379,36.000,6.621,10.759,17483.273,3675936,62.572,112.961,37,175,14.414,10.276,9.862,6.345,7068.179,1486116,2038.611,176.745,48,380,0.345,21.103,70.275,49.586,360314.531,75757728
23,dataImg,71.228,245.498,124,354,33.379,36.000,6.621,10.759,17486.332,3676579,62.572,112.630,57,175,14.414,10.276,9.862,6.345,7047.490,1481766,2038.611,177.433,35,363,0.345,21.103,70.275,49.586,361717.625,76052736
24,dataImg,71.228,246.426,121,357,33.379,36.000,6.621,10.759,17552.395,3690469,62.572,111.971,48,177,14.414,10.276,9.862,6.345,7006.235,1473092,2038.611,177.322,40,357,0.345,21.103,70.275,49.586,361489.969,76004872
25,dataImg,71.228,246.607,122,360,33.379,36.000,6.621,10.759,17565.312,3693185,62.572,112.741,50,190,14.414,10.276,9.862,6.345,7054.391,1483217,2038.611,177.866,45,360,0.345,21.103,70.275,49.586,362598.781,76238008
26,dataImg,71.228,247.086,121,359,33.379,36.000,6.621,10.759,17599.410,3700354,62.572,112.164,46,171,14.414,10.276,9.862,6.345,7018.330,1475635,2038.611,177.484,40,359,0.345,21.103,70.275,49.586,361821.188,76074512
27,dataImg,71.228,246.616,111,360,33.379,36.000,6.621,10.759,17565.949,3693319,62.572,113.067,54,177,14.414,10.276,9.862,6.345,7074.813,1487511,2038.611,178.099,47,360,0.345,21.103,70.275,49.586,363074.625,76338056
28,dataImg,71.228,245.730,118,351,33.379,36.000,6.621,10.759,17502.816,3680045,62.572,112.745,55,177,14.414,10.276,9.862,6.345,7054.676,1483277,2038.611,177.425,47,355,0.345,21.103,70.275,49.586,361700.906,76049224
29,dataImg,71.228,244.681,107,353,33.379,36.000,6.621,10.759,17428.117,3664339,62.572,112.544,49,177,14.414,10.276,9.862,6.345,7042.096,1480632,2038.611,177.495,39,353,0.345,21.103,70.275,49.586,361843.625,76079232
30,dataImg,71.228,245.074,124,355,33.379,36.000,6.621,10.759,17456.092,3670221,62.572,113.059,44,176,14.414,10.276,9.862,6.345,7074.324,1487408,2038.611,177.397,43,357,0.345,21.103,70.275,49.586,361642.812,76037008
31,dataImg,71.228,146.564,73,238,33.379,36.000,6.621,10.759,10439.461,2194943,62.572,112.964,50,174,14.414,10.276,9.862,6.345,7068.374,1486157,2038.611,172.811,47,361,0.345,21.103,70.275,49.586,352293.688,74071312
32,dataImg,71.228,154.760,82,230,33.379,36.000,6.621,10.759,11023.220,2317681,62.572,112.217,51,174,14.414,10.276,9.862,6.345,7021.621,1476327,2038.611,170.862,48,345,0.345,21.103,70.275,49.586,348320.781,73235992
33,dataImg,71.228,163.271,82,250,33.379,36.000,6.621,10.759,11629.500,2445154,62.572,111.400,28,186,14.414,10.276,9.862,6.345,6970.488,1465576,2038.611,170.019,34,344,0.345,21.103,70.275,49.586,346603.156,72874856
