 ,Label,Area1,Mean1,Min1,Max1,BX1,BY1,Width1,Height1,IntDen1,RawIntDen1,Area2,Mean2,Min2,Max2,BX2,BY2,Width2,Height2,IntDen2,RawIntDen2,Area3,Mean3,Min3,Max3,BX3,BY3,Width3,Height3,IntDen3,RawIntDen3
1,dataImg,71.228,158.568,74,463,31.862,27.724,6.621,10.759,11294.448,2374708,22.829,115.997,54,177,62.068,39.034,4.414,5.172,2648.153,556786,1678.433,135.811,47,463,17.517,0,53.103,53.379,227950.000,47927500
2,dataImg,71.228,158.133,78,516,31.862,27.724,6.621,10.759,11263.462,2368193,22.829,116.781,62,176,62.068,39.034,4.414,5.172,2666.060,560551,1678.433,135.548,37,516,17.517,0,53.103,53.379,227508.094,47834588
3,dataImg,71.228,158.314,70,460,31.862,27.724,6.621,10.759,11276.356,2370904,22.829,117.070,41,190,62.068,39.034,4.414,5.172,2672.657,561938,1678.433,135.864,50,460,17.517,0,53.103,53.379,228037.906,47945984
4,dataImg,71.228,159.577,76,515,31.862,27.724,6.621,10.759,11366.366,2389829,22.829,115.936,51,177,62.068,39.034,4.414,5.172,2646.750,556491,1678.433,135.891,45,515,17.517,0,53.103,53.379,228084.016,47955680
5,dataImg,71.228,158.480,69,475,31.862,27.724,6.621,10.759,11288.232,2373401,22.829,116.111,59,175,62.068,39.034,4.414,5.172,2650.750,557332,1678.433,135.489,49,475,17.517,0,53.103,53.379,227409.703,47813900
6,dataImg,71.228,157.863,78,462,31.862,27.724,6.621,10.759,11244.271,2364158,22.829,115.638,51,180,62.068,39.034,4.414,5.172,2639.963,555064,1678.433,135.852,50,462,17.517,0,53.103,53.379,228017.984,47941796
7,dataImg,71.228,120.266,55,201,31.862,27.724,6.621,10.759,8566.273,1801097,22.829,116.403,48,180,62.068,39.034,4.414,5.172,2657.414,558733,1678.433,134.172,41,389,17.517,0,53.103,53.379,225197.922,47348864
8,dataImg,71.228,121.474,56,211,31.862,27.724,6.621,10.759,8652.326,1819190,22.829,115.905,53,175,62.068,39.034,4.414,5.172,2646.042,556342,1678.433,133.898,42,418,17.517,0,53.103,53.379,224738.891,47252352
9,dataImg,71.228,122.003,55,208,31.862,27.724,6.621,10.759,8690.009,1827113,22.829,115.645,52,173,62.068,39.034,4.414,5.172,2640.120,555097,1678.433,133.769,46,437,17.517,0,53.103,53.379,224522.266,47206804
10,dataImg,71.228,122.423,57,198,31.862,27.724,6.621,10.759,8719.930,1833404,22.829,118.428,45,194,62.068,39.034,4.414,5.172,2703.643,568453,1678.433,133.702,45,414,17.517,0,53.103,53.379,224410.688,47183344
11,dataImg,71.228,124.273,60,205,31.862,27.724,6.621,10.759,8851.718,1861113,22.829,115.549,52,183,62.068,39.034,4.414,5.172,2637.923,554635,1678.433,133.423,45,380,17.517,0,53.103,53.379,223940.969,47084584
